Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
# 1 LOFT,LORONG 24 GEYLANG,14,Non-landed Properties,1,"2,000",40 - 50,400 - 500,Jun 2019
# 1 LOFT,LORONG 24 GEYLANG,14,Non-landed Properties,1,"1,800",40 - 50,400 - 500,Jun 2019
# 1 LOFT,LORONG 24 GEYLANG,14,Non-landed Properties,3,"3,300",110 - 120,"1,200 - 1,300",Jun 2019
# 1 SUITES,LORONG 20 GEYLANG,14,Non-landed Properties,1,"1,900",40 - 50,400 - 500,Jun 2019
1 KING ALBERT PARK,KING ALBERT PARK,21,Non-landed Properties,2,"2,650",80 - 90,"900 - 1,000",Jun 2019
10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,"2,200",40 - 50,400 - 500,Jun 2019
10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,"1,900",60 - 70,600 - 700,Jun 2019
10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,"1,800",40 - 50,400 - 500,Jun 2019
10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,"2,000",40 - 50,400 - 500,Jun 2019
10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,"1,950",40 - 50,400 - 500,Jun 2019
10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,"2,000",40 - 50,400 - 500,Jun 2019
11 AMBER ROAD,AMBER ROAD,15,Non-landed Properties,2,"3,200",80 - 90,"900 - 1,000",Jun 2019
111 EMERALD HILL,EMERALD HILL ROAD,09,Non-landed Properties,4,"10,800",220 - 230,"2,400 - 2,500",Jun 2019
16 @ AMBER,AMBER ROAD,15,Non-landed Properties,1,"1,750",30 - 40,400 - 500,Jun 2019
16 @ AMBER,AMBER ROAD,15,Non-landed Properties,1,"1,750",30 - 40,400 - 500,Jun 2019
16 @ AMBER,AMBER ROAD,15,Non-landed Properties,1,"1,900",30 - 40,400 - 500,Jun 2019
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,3,"3,500",80 - 90,"900 - 1,000",Jun 2019
