Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
18 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,4,"7,000",330 - 340,"3,500 - 3,600",Jan 2019
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,3,"2,700",80 - 90,"900 - 1,000",Jan 2019
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,2,"2,700",60 - 70,700 - 800,Jan 2019
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,1,"2,000",40 - 50,400 - 500,Jan 2019
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,2,"2,600",60 - 70,700 - 800,Jan 2019
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,2,"2,800",70 - 80,800 - 900,Jan 2019
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,1,"2,000",40 - 50,400 - 500,Jan 2019
1919,SOPHIA ROAD,09,Non-landed Properties,3,"4,600",120 - 130,"1,300 - 1,400",Jan 2019
1919,SOPHIA ROAD,09,Non-landed Properties,1,"2,900",50 - 60,500 - 600,Jan 2019
1919,SOPHIA ROAD,09,Non-landed Properties,1,"3,000",70 - 80,700 - 800,Jan 2019
2 RVG,RIVER VALLEY GROVE,09,Non-landed Properties,2,"3,400",70 - 80,800 - 900,Jan 2019
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,1,"2,600",40 - 50,400 - 500,Jan 2019
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,2,"2,700",50 - 60,600 - 700,Jan 2019
28 IMPERIAL RESIDENCES,LORONG 26 GEYLANG,14,Non-landed Properties,1,"2,200",60 - 70,700 - 800,Jan 2019
28 IMPERIAL RESIDENCES,LORONG 26 GEYLANG,14,Non-landed Properties,1,"2,000",40 - 50,400 - 500,Jan 2019
28 RC SUITES,RACE COURSE LANE,08,Non-landed Properties,1,"2,000",40 - 50,400 - 500,Jan 2019
28 RC SUITES,RACE COURSE LANE,08,Non-landed Properties,1,"1,700",40 - 50,400 - 500,Jan 2019
28 RC SUITES,RACE COURSE LANE,08,Non-landed Properties,1,"2,000",30 - 40,400 - 500,Jan 2019
28 RC SUITES,RACE COURSE LANE,08,Non-landed Properties,1,"2,000",30 - 40,400 - 500,Jan 2019
28 RC SUITES,RACE COURSE LANE,08,Non-landed Properties,1,"2,000",40 - 50,400 - 500,Jan 2019
28 RC SUITES,RACE COURSE LANE,08,Non-landed Properties,1,"2,000",40 - 50,400 - 500,Jan 2019
28 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,2,"2,600",70 - 80,800 - 900,Jan 2019
28 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,2,"4,000",70 - 80,800 - 900,Jan 2019
368 THOMSON,THOMSON ROAD,11,Non-landed Properties,2,"3,000",80 - 90,800 - 900,Jan 2019
368 THOMSON,THOMSON ROAD,11,Non-landed Properties,2,"3,200",80 - 90,800 - 900,Jan 2019
368 THOMSON,THOMSON ROAD,11,Non-landed Properties,1,"2,400",60 - 70,600 - 700,Jan 2019
368 THOMSON,THOMSON ROAD,11,Non-landed Properties,2,"2,700",80 - 90,800 - 900,Jan 2019
368 THOMSON,THOMSON ROAD,11,Non-landed Properties,1,"2,300",60 - 70,600 - 700,Jan 2019
38 I SUITES,IPOH LANE,15,Non-landed Properties,2,"2,300",60 - 70,600 - 700,Jan 2019
38 I SUITES,IPOH LANE,15,Non-landed Properties,2,"2,400",120 - 130,"1,300 - 1,400",Jan 2019
38 I SUITES,IPOH LANE,15,Non-landed Properties,2,"2,600",60 - 70,600 - 700,Jan 2019
38 I SUITES,IPOH LANE,15,Non-landed Properties,2,"2,500",60 - 70,600 - 700,Jan 2019
38 I SUITES,IPOH LANE,15,Non-landed Properties,2,"2,400",60 - 70,600 - 700,Jan 2019
3@PHILLIPS,PHILLIPS AVENUE,19,Non-landed Properties,3,"2,400",80 - 90,"900 - 1,000",Jan 2019
57 @ KOVAN,KOVAN ROAD,19,Non-landed Properties,3,"3,300",120 - 130,"1,300 - 1,400",Jan 2019
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,2,"3,300",70 - 80,800 - 900,Jan 2019
70@TRURO,TRURO ROAD,08,Non-landed Properties,2,"2,000",40 - 50,400 - 500,Jan 2019
76 SHENTON,SHENTON WAY,02,Non-landed Properties,2,"4,300",90 - 100,"900 - 1,000",Jan 2019
76 SHENTON,SHENTON WAY,02,Non-landed Properties,2,"4,200",90 - 100,"900 - 1,000",Jan 2019
76 SHENTON,SHENTON WAY,02,Non-landed Properties,1,"3,400",50 - 60,500 - 600,Jan 2019
76 SHENTON,SHENTON WAY,02,Non-landed Properties,2,"4,500",90 - 100,"900 - 1,000",Jan 2019
76 SHENTON,SHENTON WAY,02,Non-landed Properties,1,"4,300",50 - 60,600 - 700,Jan 2019
76 SHENTON,SHENTON WAY,02,Non-landed Properties,1,"3,250",50 - 60,600 - 700,Jan 2019
76 SHENTON,SHENTON WAY,02,Non-landed Properties,1,"3,050",50 - 60,500 - 600,Jan 2019
76 SHENTON,SHENTON WAY,02,Non-landed Properties,2,"4,100",90 - 100,"900 - 1,000",Jan 2019
76 SHENTON,SHENTON WAY,02,Non-landed Properties,1,"3,600",50 - 60,600 - 700,Jan 2019
76 SHENTON,SHENTON WAY,02,Non-landed Properties,1,"3,200",50 - 60,500 - 600,Jan 2019
76 SHENTON,SHENTON WAY,02,Non-landed Properties,1,"3,200",50 - 60,600 - 700,Jan 2019
76 SHENTON,SHENTON WAY,02,Non-landed Properties,2,"4,000",90 - 100,"900 - 1,000",Jan 2019
76 SHENTON,SHENTON WAY,02,Non-landed Properties,2,"4,000",90 - 100,"900 - 1,000",Jan 2019
76 SHENTON,SHENTON WAY,02,Non-landed Properties,1,"3,300",50 - 60,500 - 600,Jan 2019
76 SHENTON,SHENTON WAY,02,Non-landed Properties,1,"3,300",50 - 60,600 - 700,Jan 2019
8 @ MOUNT SOPHIA,MOUNT SOPHIA,09,Non-landed Properties,2,"4,200",80 - 90,"900 - 1,000",Jan 2019
8 @ MOUNT SOPHIA,MOUNT SOPHIA,09,Non-landed Properties,2,"5,500",80 - 90,"900 - 1,000",Jan 2019
8 @ MOUNT SOPHIA,MOUNT SOPHIA,09,Non-landed Properties,1,"3,000",60 - 70,700 - 800,Jan 2019
8 @ MOUNT SOPHIA,MOUNT SOPHIA,09,Non-landed Properties,1,"3,100",60 - 70,700 - 800,Jan 2019
8 @ MOUNT SOPHIA,MOUNT SOPHIA,09,Non-landed Properties,1,"3,600",60 - 70,700 - 800,Jan 2019
8 @ MOUNT SOPHIA,MOUNT SOPHIA,09,Non-landed Properties,2,"4,000",80 - 90,800 - 900,Jan 2019
8 @ MOUNT SOPHIA,MOUNT SOPHIA,09,Non-landed Properties,3,"6,700",120 - 130,"1,300 - 1,400",Jan 2019
8 @ MOUNT SOPHIA,MOUNT SOPHIA,09,Non-landed Properties,3,"6,500",110 - 120,"1,200 - 1,300",Jan 2019
8 @ MOUNT SOPHIA,MOUNT SOPHIA,09,Non-landed Properties,2,"4,500",80 - 90,"900 - 1,000",Jan 2019
8 @ MOUNT SOPHIA,MOUNT SOPHIA,09,Non-landed Properties,3,"5,500",110 - 120,"1,100 - 1,200",Jan 2019
8 @ MOUNT SOPHIA,MOUNT SOPHIA,09,Non-landed Properties,1,"3,200",60 - 70,600 - 700,Jan 2019
8 @ MOUNT SOPHIA,MOUNT SOPHIA,09,Non-landed Properties,3,"4,450",100 - 110,"1,100 - 1,200",Jan 2019
8 @ MOUNT SOPHIA,MOUNT SOPHIA,09,Non-landed Properties,2,"4,300",80 - 90,"900 - 1,000",Jan 2019
8 @ MOUNT SOPHIA,MOUNT SOPHIA,09,Non-landed Properties,2,"4,800",80 - 90,"900 - 1,000",Jan 2019
8 BASSEIN,BASSEIN ROAD,11,Non-landed Properties,1,"1,950",40 - 50,400 - 500,Jan 2019
8 BASSEIN,BASSEIN ROAD,11,Non-landed Properties,1,"2,100",40 - 50,400 - 500,Jan 2019
8 BASSEIN,BASSEIN ROAD,11,Non-landed Properties,1,"2,200",40 - 50,400 - 500,Jan 2019
8 BASSEIN,BASSEIN ROAD,11,Non-landed Properties,1,"2,000",40 - 50,400 - 500,Jan 2019
8 FARRER SUITES,SING JOO WALK,08,Non-landed Properties,2,"4,200",70 - 80,800 - 900,Jan 2019
8 NAPIER,NAPIER ROAD,10,Non-landed Properties,3,"13,000",180 - 190,"2,000 - 2,100",Jan 2019
8 RAJA,JALAN RAJA UDANG,12,Non-landed Properties,3,"5,500",180 - 190,"2,000 - 2,100",Jan 2019
8 SAINT THOMAS,ST. THOMAS WALK,09,Non-landed Properties,2,"5,800",70 - 80,800 - 900,Jan 2019
8 SAINT THOMAS,ST. THOMAS WALK,09,Non-landed Properties,1,"3,200",40 - 50,500 - 600,Jan 2019
8 SAINT THOMAS,ST. THOMAS WALK,09,Non-landed Properties,2,"4,500",70 - 80,800 - 900,Jan 2019
8 SAINT THOMAS,ST. THOMAS WALK,09,Non-landed Properties,1,"3,200",40 - 50,400 - 500,Jan 2019
8 SAINT THOMAS,ST. THOMAS WALK,09,Non-landed Properties,2,"4,600",70 - 80,800 - 900,Jan 2019
833 M B RESIDENCES,MOUNTBATTEN ROAD,15,Non-landed Properties,1,"1,950",50 - 60,500 - 600,Jan 2019
8@WOODLEIGH,WOODLEIGH CLOSE,13,Non-landed Properties,2,"3,600",100 - 110,"1,100 - 1,200",Jan 2019
8@WOODLEIGH,WOODLEIGH CLOSE,13,Non-landed Properties,2,"3,000",80 - 90,800 - 900,Jan 2019
8@WOODLEIGH,WOODLEIGH CLOSE,13,Non-landed Properties,2,"2,800",70 - 80,800 - 900,Jan 2019
8@WOODLEIGH,WOODLEIGH CLOSE,13,Non-landed Properties,3,"3,500",100 - 110,"1,000 - 1,100",Jan 2019
8@WOODLEIGH,WOODLEIGH CLOSE,13,Non-landed Properties,2,"3,000",70 - 80,800 - 900,Jan 2019
8@WOODLEIGH,WOODLEIGH CLOSE,13,Non-landed Properties,NA,"1,700",30 - 40,300 - 400,Jan 2019
8@WOODLEIGH,WOODLEIGH CLOSE,13,Non-landed Properties,3,"4,300",120 - 130,"1,300 - 1,400",Jan 2019
8@WOODLEIGH,WOODLEIGH CLOSE,13,Non-landed Properties,2,"3,000",70 - 80,800 - 900,Jan 2019
8@WOODLEIGH,WOODLEIGH CLOSE,13,Non-landed Properties,NA,"1,750",30 - 40,300 - 400,Jan 2019
8@WOODLEIGH,WOODLEIGH CLOSE,13,Non-landed Properties,2,"3,000",80 - 90,800 - 900,Jan 2019
8@WOODLEIGH,WOODLEIGH CLOSE,13,Non-landed Properties,2,"3,300",80 - 90,800 - 900,Jan 2019
8@WOODLEIGH,WOODLEIGH CLOSE,13,Non-landed Properties,2,"2,700",70 - 80,800 - 900,Jan 2019
8@WOODLEIGH,WOODLEIGH CLOSE,13,Non-landed Properties,2,"3,100",70 - 80,800 - 900,Jan 2019
8M RESIDENCES,MARGATE ROAD,15,Non-landed Properties,1,"2,100",40 - 50,500 - 600,Jan 2019
8M RESIDENCES,MARGATE ROAD,15,Non-landed Properties,1,"2,400",60 - 70,600 - 700,Jan 2019
A TREASURE TROVE,PUNGGOL WALK,19,Non-landed Properties,2,"2,300",80 - 90,"900 - 1,000",Jan 2019
A TREASURE TROVE,PUNGGOL WALK,19,Non-landed Properties,3,"2,850",110 - 120,"1,200 - 1,300",Jan 2019
A TREASURE TROVE,PUNGGOL WALK,19,Non-landed Properties,3,"2,700",100 - 110,"1,100 - 1,200",Jan 2019
A TREASURE TROVE,PUNGGOL WALK,19,Non-landed Properties,3,"2,800",100 - 110,"1,100 - 1,200",Jan 2019
A TREASURE TROVE,PUNGGOL WALK,19,Non-landed Properties,3,"2,700",90 - 100,"1,000 - 1,100",Jan 2019
A TREASURE TROVE,PUNGGOL WALK,19,Non-landed Properties,4,"3,200",120 - 130,"1,300 - 1,400",Jan 2019
A TREASURE TROVE,PUNGGOL WALK,19,Non-landed Properties,2,"2,100",70 - 80,700 - 800,Jan 2019
A TREASURE TROVE,PUNGGOL WALK,19,Non-landed Properties,4,"3,100",120 - 130,"1,300 - 1,400",Jan 2019
A TREASURE TROVE,PUNGGOL WALK,19,Non-landed Properties,4,"3,300",120 - 130,"1,300 - 1,400",Jan 2019
A TREASURE TROVE,PUNGGOL WALK,19,Non-landed Properties,3,"2,700",110 - 120,"1,200 - 1,300",Jan 2019
A TREASURE TROVE,PUNGGOL WALK,19,Non-landed Properties,3,"2,600",90 - 100,"1,000 - 1,100",Jan 2019
A TREASURE TROVE,PUNGGOL WALK,19,Non-landed Properties,3,"2,600",90 - 100,"1,000 - 1,100",Jan 2019
A TREASURE TROVE,PUNGGOL WALK,19,Non-landed Properties,2,"2,250",80 - 90,"900 - 1,000",Jan 2019
A TREASURE TROVE,PUNGGOL WALK,19,Non-landed Properties,2,"2,100",70 - 80,700 - 800,Jan 2019
A TREASURE TROVE,PUNGGOL WALK,19,Non-landed Properties,2,"2,100",70 - 80,700 - 800,Jan 2019
A TREASURE TROVE,PUNGGOL WALK,19,Non-landed Properties,2,"2,300",70 - 80,700 - 800,Jan 2019
A TREASURE TROVE,PUNGGOL WALK,19,Non-landed Properties,3,"2,500",100 - 110,"1,100 - 1,200",Jan 2019
A TREASURE TROVE,PUNGGOL WALK,19,Non-landed Properties,3,"2,700",110 - 120,"1,200 - 1,300",Jan 2019
A TREASURE TROVE,PUNGGOL WALK,19,Non-landed Properties,3,"2,700",90 - 100,"1,000 - 1,100",Jan 2019
AALTO,MEYER ROAD,15,Non-landed Properties,3,"5,200",140 - 150,"1,500 - 1,600",Jan 2019
AALTO,MEYER ROAD,15,Non-landed Properties,4,"6,500",180 - 190,"1,900 - 2,000",Jan 2019
AALTO,MEYER ROAD,15,Non-landed Properties,3,"5,300",130 - 140,"1,400 - 1,500",Jan 2019
AALTO,MEYER ROAD,15,Non-landed Properties,3,"5,000",140 - 150,"1,500 - 1,600",Jan 2019
AALTO,MEYER ROAD,15,Non-landed Properties,3,"5,200",140 - 150,"1,500 - 1,600",Jan 2019
ADAM PARK CONDOMINIUM,ADAM ROAD,11,Non-landed Properties,2,"2,700",80 - 90,"900 - 1,000",Jan 2019
ADAM PARK CONDOMINIUM,ADAM ROAD,11,Non-landed Properties,2,"2,600",80 - 90,800 - 900,Jan 2019
ADAM PLACE,ADAM ROAD,11,Non-landed Properties,NA,"2,900",70 - 80,800 - 900,Jan 2019
ADAM PLACE,ADAM ROAD,11,Non-landed Properties,NA,"2,500",80 - 90,"900 - 1,000",Jan 2019
ADAM PLACE,ADAM ROAD,11,Non-landed Properties,NA,"2,300",70 - 80,800 - 900,Jan 2019
ADANA @ THOMSON,OLD UPPER THOMSON ROAD,20,Non-landed Properties,2,"2,100",50 - 60,500 - 600,Jan 2019
ADRIA,DERBYSHIRE ROAD,11,Non-landed Properties,2,"3,100",60 - 70,600 - 700,Jan 2019
ADRIA,DERBYSHIRE ROAD,11,Non-landed Properties,2,"3,100",60 - 70,600 - 700,Jan 2019
ADRIA,DERBYSHIRE ROAD,11,Non-landed Properties,2,"3,150",60 - 70,600 - 700,Jan 2019
ADRIA,DERBYSHIRE ROAD,11,Non-landed Properties,2,"3,200",70 - 80,800 - 900,Jan 2019
ADVANCE APARTMENTS,LORONG 25A GEYLANG,14,Non-landed Properties,NA,"3,600",100 - 110,"1,100 - 1,200",Jan 2019
AIRSTREAM,ST. MICHAEL'S ROAD,12,Non-landed Properties,2,"2,100",50 - 60,600 - 700,Jan 2019
AIRSTREAM,ST. MICHAEL'S ROAD,12,Non-landed Properties,1,"1,800",40 - 50,500 - 600,Jan 2019
AIRSTREAM,ST. MICHAEL'S ROAD,12,Non-landed Properties,1,"1,700",40 - 50,400 - 500,Jan 2019
AIRSTREAM,ST. MICHAEL'S ROAD,12,Non-landed Properties,1,"1,750",40 - 50,400 - 500,Jan 2019
AIRSTREAM,ST. MICHAEL'S ROAD,12,Non-landed Properties,1,"1,850",40 - 50,400 - 500,Jan 2019
ALBA,CAIRNHILL RISE,09,Non-landed Properties,4,"10,000",200 - 210,"2,200 - 2,300",Jan 2019
ALEGRIA,THOMSON ROAD,11,Non-landed Properties,1,"2,400",50 - 60,600 - 700,Jan 2019
ALESSANDREA,ALEXANDRA ROAD,03,Non-landed Properties,3,"3,200",90 - 100,"1,000 - 1,100",Jan 2019
ALESSANDREA,ALEXANDRA ROAD,03,Non-landed Properties,3,"3,000",90 - 100,"900 - 1,000",Jan 2019
ALESSANDREA,ALEXANDRA ROAD,03,Non-landed Properties,3,"3,150",90 - 100,"1,000 - 1,100",Jan 2019
ALESSANDREA,ALEXANDRA ROAD,03,Non-landed Properties,3,"3,200",90 - 100,"1,000 - 1,100",Jan 2019
ALESSANDREA,ALEXANDRA ROAD,03,Non-landed Properties,3,"3,500",90 - 100,"1,000 - 1,100",Jan 2019
ALEX RESIDENCES,ALEXANDRA VIEW,03,Non-landed Properties,3,"4,500",90 - 100,"1,000 - 1,100",Jan 2019
ALEX RESIDENCES,ALEXANDRA VIEW,03,Non-landed Properties,1,"2,450",40 - 50,400 - 500,Jan 2019
ALEX RESIDENCES,ALEXANDRA VIEW,03,Non-landed Properties,1,"2,400",40 - 50,400 - 500,Jan 2019
ALEX RESIDENCES,ALEXANDRA VIEW,03,Non-landed Properties,2,"3,200",60 - 70,600 - 700,Jan 2019
ALEX RESIDENCES,ALEXANDRA VIEW,03,Non-landed Properties,2,"3,100",60 - 70,600 - 700,Jan 2019
ALEX RESIDENCES,ALEXANDRA VIEW,03,Non-landed Properties,1,"2,650",40 - 50,400 - 500,Jan 2019
ALEX RESIDENCES,ALEXANDRA VIEW,03,Non-landed Properties,2,"3,200",60 - 70,600 - 700,Jan 2019
ALEX RESIDENCES,ALEXANDRA VIEW,03,Non-landed Properties,1,"2,800",40 - 50,400 - 500,Jan 2019
ALEX RESIDENCES,ALEXANDRA VIEW,03,Non-landed Properties,2,"3,900",60 - 70,600 - 700,Jan 2019
ALEX RESIDENCES,ALEXANDRA VIEW,03,Non-landed Properties,1,"2,500",40 - 50,400 - 500,Jan 2019
ALEX RESIDENCES,ALEXANDRA VIEW,03,Non-landed Properties,1,"2,600",40 - 50,400 - 500,Jan 2019
ALEX RESIDENCES,ALEXANDRA VIEW,03,Non-landed Properties,1,"2,500",40 - 50,400 - 500,Jan 2019
ALEX RESIDENCES,ALEXANDRA VIEW,03,Non-landed Properties,3,"3,800",80 - 90,"900 - 1,000",Jan 2019
ALEX RESIDENCES,ALEXANDRA VIEW,03,Non-landed Properties,3,"4,600",90 - 100,"1,000 - 1,100",Jan 2019
ALEXIS,ALEXANDRA ROAD,03,Non-landed Properties,1,"2,600",80 - 90,800 - 900,Jan 2019
ALEXIS,ALEXANDRA ROAD,03,Non-landed Properties,3,"3,100",80 - 90,"900 - 1,000",Jan 2019
ALEXIS,ALEXANDRA ROAD,03,Non-landed Properties,1,"2,200",40 - 50,500 - 600,Jan 2019
ALEXIS,ALEXANDRA ROAD,03,Non-landed Properties,1,"2,250",50 - 60,500 - 600,Jan 2019
ALEXIS,ALEXANDRA ROAD,03,Non-landed Properties,2,"2,400",50 - 60,600 - 700,Jan 2019
ALEXIS,ALEXANDRA ROAD,03,Non-landed Properties,1,"2,550",40 - 50,500 - 600,Jan 2019
ALEXIS,ALEXANDRA ROAD,03,Non-landed Properties,1,"2,200",30 - 40,300 - 400,Jan 2019
ALEXIS,ALEXANDRA ROAD,03,Non-landed Properties,2,"3,000",90 - 100,"1,000 - 1,100",Jan 2019
ALEXIS,ALEXANDRA ROAD,03,Non-landed Properties,2,"2,900",50 - 60,600 - 700,Jan 2019
ALEXIS,ALEXANDRA ROAD,03,Non-landed Properties,2,"2,800",50 - 60,600 - 700,Jan 2019
ALEXIS,ALEXANDRA ROAD,03,Non-landed Properties,1,"2,400",30 - 40,400 - 500,Jan 2019
ALEXIS,ALEXANDRA ROAD,03,Non-landed Properties,2,"2,700",70 - 80,700 - 800,Jan 2019
ALEXIS,ALEXANDRA ROAD,03,Non-landed Properties,1,"2,100",30 - 40,300 - 400,Jan 2019
ALEXIS,ALEXANDRA ROAD,03,Non-landed Properties,2,"3,250",60 - 70,700 - 800,Jan 2019
ALEXIS,ALEXANDRA ROAD,03,Non-landed Properties,1,"2,300",30 - 40,300 - 400,Jan 2019
ALEXIS,ALEXANDRA ROAD,03,Non-landed Properties,1,"2,500",30 - 40,300 - 400,Jan 2019
ALEXIS,ALEXANDRA ROAD,03,Non-landed Properties,1,"3,000",30 - 40,400 - 500,Jan 2019
ALEXIS,ALEXANDRA ROAD,03,Non-landed Properties,3,"4,100",110 - 120,"1,100 - 1,200",Jan 2019
ALLAN VILLE,GEMMILL LANE,01,Non-landed Properties,NA,"2,900",60 - 70,600 - 700,Jan 2019
ALLSWORTH PARK,HOLLAND ROAD,10,Non-landed Properties,2,"2,700",90 - 100,"900 - 1,000",Jan 2019
ALLSWORTH PARK,HOLLAND ROAD,10,Non-landed Properties,3,"4,100",170 - 180,"1,800 - 1,900",Jan 2019
ALLSWORTH PARK,HOLLAND ROAD,10,Non-landed Properties,2,"2,200",90 - 100,"900 - 1,000",Jan 2019
ALPHA APARTMENTS,KOON SENG ROAD,15,Non-landed Properties,3,"2,800",90 - 100,"1,000 - 1,100",Jan 2019
ALTEZ,ENGGOR STREET,02,Non-landed Properties,2,"5,800",70 - 80,800 - 900,Jan 2019
ALTEZ,ENGGOR STREET,02,Non-landed Properties,2,"7,751",100 - 110,"1,000 - 1,100",Jan 2019
ALTEZ,ENGGOR STREET,02,Non-landed Properties,2,"5,300",90 - 100,"1,000 - 1,100",Jan 2019
ALTEZ,ENGGOR STREET,02,Non-landed Properties,2,"6,800",90 - 100,"1,000 - 1,100",Jan 2019
ALTEZ,ENGGOR STREET,02,Non-landed Properties,2,"5,100",70 - 80,800 - 900,Jan 2019
ALTEZ,ENGGOR STREET,02,Non-landed Properties,1,"4,600",60 - 70,700 - 800,Jan 2019
ALTEZ,ENGGOR STREET,02,Non-landed Properties,1,"4,000",50 - 60,600 - 700,Jan 2019
ALTEZ,ENGGOR STREET,02,Non-landed Properties,1,"4,500",70 - 80,700 - 800,Jan 2019
ALTEZ,ENGGOR STREET,02,Non-landed Properties,1,"4,400",60 - 70,700 - 800,Jan 2019
ALTEZ,ENGGOR STREET,02,Non-landed Properties,2,"5,700",90 - 100,"1,000 - 1,100",Jan 2019
ALTEZ,ENGGOR STREET,02,Non-landed Properties,1,"3,400",40 - 50,500 - 600,Jan 2019
ALTEZ,ENGGOR STREET,02,Non-landed Properties,1,"3,500",40 - 50,500 - 600,Jan 2019
ALTEZ,ENGGOR STREET,02,Non-landed Properties,1,"4,000",40 - 50,500 - 600,Jan 2019
ALTEZ,ENGGOR STREET,02,Non-landed Properties,1,"3,900",40 - 50,500 - 600,Jan 2019
ALTEZ,ENGGOR STREET,02,Non-landed Properties,1,"4,450",60 - 70,700 - 800,Jan 2019
ALTEZ,ENGGOR STREET,02,Non-landed Properties,1,"3,500",50 - 60,500 - 600,Jan 2019
AMANINDA,THOMSON ROAD,11,Non-landed Properties,1,"2,300",50 - 60,500 - 600,Jan 2019
AMANINDA,THOMSON ROAD,11,Non-landed Properties,1,"2,300",50 - 60,500 - 600,Jan 2019
AMARANDA GARDENS,SERANGOON AVENUE 3,19,Non-landed Properties,3,"3,300",100 - 110,"1,100 - 1,200",Jan 2019
AMARANDA GARDENS,SERANGOON AVENUE 3,19,Non-landed Properties,2,"3,000",80 - 90,"900 - 1,000",Jan 2019
AMARANDA GARDENS,SERANGOON AVENUE 3,19,Non-landed Properties,4,"5,750",170 - 180,"1,900 - 2,000",Jan 2019
AMARANDA GARDENS,SERANGOON AVENUE 3,19,Non-landed Properties,3,"3,400",100 - 110,"1,100 - 1,200",Jan 2019
AMARANDA GARDENS,SERANGOON AVENUE 3,19,Non-landed Properties,3,"3,600",100 - 110,"1,100 - 1,200",Jan 2019
AMARANDA GARDENS,SERANGOON AVENUE 3,19,Non-landed Properties,3,"3,000",100 - 110,"1,100 - 1,200",Jan 2019
AMARYLLIS VILLE,NEWTON ROAD,11,Non-landed Properties,4,"6,200",150 - 160,"1,600 - 1,700",Jan 2019
AMARYLLIS VILLE,NEWTON ROAD,11,Non-landed Properties,3,"4,700",110 - 120,"1,200 - 1,300",Jan 2019
AMARYLLIS VILLE,NEWTON ROAD,11,Non-landed Properties,3,"5,900",110 - 120,"1,100 - 1,200",Jan 2019
AMARYLLIS VILLE,NEWTON ROAD,11,Non-landed Properties,1,"2,700",50 - 60,600 - 700,Jan 2019
AMARYLLIS VILLE,NEWTON ROAD,11,Non-landed Properties,2,"4,150",80 - 90,"900 - 1,000",Jan 2019
AMARYLLIS VILLE,NEWTON ROAD,11,Non-landed Properties,2,"3,800",80 - 90,"900 - 1,000",Jan 2019
AMARYLLIS VILLE,NEWTON ROAD,11,Non-landed Properties,2,"3,800",80 - 90,"900 - 1,000",Jan 2019
AMARYLLIS VILLE,NEWTON ROAD,11,Non-landed Properties,2,"3,850",80 - 90,"900 - 1,000",Jan 2019
AMARYLLIS VILLE,NEWTON ROAD,11,Non-landed Properties,3,"4,600",110 - 120,"1,200 - 1,300",Jan 2019
