Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
# 1 LOFT,LORONG 24 GEYLANG,14,Non-landed Properties,1,"2,250",40 - 50,400 - 500,Jan 2019
# 1 SUITES,LORONG 20 GEYLANG,14,Non-landed Properties,1,"2,000",40 - 50,400 - 500,Jan 2019
# 1 SUITES,LORONG 20 GEYLANG,14,Non-landed Properties,1,"1,900",40 - 50,500 - 600,Jan 2019
1 KING ALBERT PARK,KING ALBERT PARK,21,Non-landed Properties,3,"3,000",110 - 120,"1,200 - 1,300",Jan 2019
1 KING ALBERT PARK,KING ALBERT PARK,21,Non-landed Properties,2,"3,400",100 - 110,"1,000 - 1,100",Jan 2019
10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,"2,200",40 - 50,400 - 500,Jan 2019
10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,"1,700",40 - 50,400 - 500,Jan 2019
10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,"1,950",40 - 50,400 - 500,Jan 2019
10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,"2,000",40 - 50,400 - 500,Jan 2019
10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,"2,350",70 - 80,700 - 800,Jan 2019
11 AMBER ROAD,AMBER ROAD,15,Non-landed Properties,3,"3,900",100 - 110,"1,100 - 1,200",Jan 2019
11 AMBER ROAD,AMBER ROAD,15,Non-landed Properties,3,"3,550",100 - 110,"1,100 - 1,200",Jan 2019
11 AMBER ROAD,AMBER ROAD,15,Non-landed Properties,3,"3,200",100 - 110,"1,100 - 1,200",Jan 2019
111 EMERALD HILL,EMERALD HILL ROAD,09,Non-landed Properties,4,"10,000",230 - 240,"2,400 - 2,500",Jan 2019
111 EMERALD HILL,EMERALD HILL ROAD,09,Non-landed Properties,3,"9,400",180 - 190,"1,900 - 2,000",Jan 2019
16 @ AMBER,AMBER ROAD,15,Non-landed Properties,1,"1,750",30 - 40,400 - 500,Jan 2019
16 @ AMBER,AMBER ROAD,15,Non-landed Properties,2,"2,300",60 - 70,600 - 700,Jan 2019
16 @ AMBER,AMBER ROAD,15,Non-landed Properties,1,"2,000",30 - 40,400 - 500,Jan 2019
16 @ AMBER,AMBER ROAD,15,Non-landed Properties,2,"2,200",60 - 70,700 - 800,Jan 2019
