Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
INTERNATIONAL PLAZA,ANSON ROAD,02,Non-landed Properties,NA,"3,105",130 - 140,"1,400 - 1,500",Aug 2020
INTERNATIONAL PLAZA,ANSON ROAD,02,Non-landed Properties,NA,"3,000",90 - 100,"1,000 - 1,100",Aug 2020
INTERNATIONAL PLAZA,ANSON ROAD,02,Non-landed Properties,NA,"3,870",130 - 140,"1,400 - 1,500",Aug 2020
INTERNATIONAL PLAZA,ANSON ROAD,02,Non-landed Properties,NA,"3,000",80 - 90,"900 - 1,000",Jul 2020
INTERNATIONAL PLAZA,ANSON ROAD,02,Non-landed Properties,NA,"4,300",130 - 140,"1,400 - 1,500",Sep 2020
INTERNATIONAL PLAZA,ANSON ROAD,02,Non-landed Properties,NA,"3,000",80 - 90,800 - 900,Sep 2020
INTERNATIONAL PLAZA,ANSON ROAD,02,Non-landed Properties,NA,"3,000",90 - 100,"1,000 - 1,100",Sep 2020
INTERNATIONAL PLAZA,ANSON ROAD,02,Non-landed Properties,NA,"4,200",90 - 100,"1,000 - 1,100",Sep 2020
INTERNATIONAL PLAZA,ANSON ROAD,02,Non-landed Properties,NA,"3,600",90 - 100,"1,000 - 1,100",Aug 2020
INTERNATIONAL PLAZA,ANSON ROAD,02,Non-landed Properties,NA,"3,100",90 - 100,"1,000 - 1,100",Sep 2020
INTERNATIONAL PLAZA,ANSON ROAD,02,Non-landed Properties,NA,"9,000",350 - 360,"3,800 - 3,900",Sep 2020
INTERNATIONAL PLAZA,ANSON ROAD,02,Non-landed Properties,NA,"3,900",90 - 100,"1,000 - 1,100",Oct 2020
INTERNATIONAL PLAZA,ANSON ROAD,02,Non-landed Properties,NA,"4,050",140 - 150,"1,500 - 1,600",Oct 2020
INTERNATIONAL PLAZA,ANSON ROAD,02,Non-landed Properties,NA,"4,200",130 - 140,"1,400 - 1,500",Oct 2020
INTERNATIONAL PLAZA,ANSON ROAD,02,Non-landed Properties,NA,"3,100",80 - 90,"900 - 1,000",Oct 2020
INTERNATIONAL PLAZA,ANSON ROAD,02,Non-landed Properties,NA,"4,400",130 - 140,"1,400 - 1,500",Oct 2020
INTERNATIONAL PLAZA,ANSON ROAD,02,Non-landed Properties,NA,"2,900",80 - 90,800 - 900,Nov 2020
INTERNATIONAL PLAZA,ANSON ROAD,02,Non-landed Properties,NA,"3,000",90 - 100,"1,000 - 1,100",Nov 2020
INTERNATIONAL PLAZA,ANSON ROAD,02,Non-landed Properties,NA,"1,915",60 - 70,700 - 800,Nov 2020
INTERNATIONAL PLAZA,ANSON ROAD,02,Non-landed Properties,NA,"2,800",80 - 90,"900 - 1,000",Nov 2020
INTERNATIONAL PLAZA,ANSON ROAD,02,Non-landed Properties,NA,"3,300",140 - 150,"1,600 - 1,700",Nov 2020
INTERNATIONAL PLAZA,ANSON ROAD,02,Non-landed Properties,NA,"3,000",90 - 100,"1,000 - 1,100",Nov 2020
INTERNATIONAL PLAZA,ANSON ROAD,02,Non-landed Properties,NA,"12,000",350 - 360,"3,800 - 3,900",Dec 2020
INTERNATIONAL PLAZA,ANSON ROAD,02,Non-landed Properties,NA,"3,200",140 - 150,"1,600 - 1,700",Dec 2020
INTERNATIONAL PLAZA,ANSON ROAD,02,Non-landed Properties,NA,"2,900",90 - 100,"1,000 - 1,100",Dec 2020
INTERNATIONAL PLAZA,ANSON ROAD,02,Non-landed Properties,NA,"2,750",80 - 90,"900 - 1,000",Dec 2020
INTERNATIONAL PLAZA,ANSON ROAD,02,Non-landed Properties,NA,"4,000",140 - 150,"1,500 - 1,600",Dec 2020
INTERNATIONAL PLAZA,ANSON ROAD,02,Non-landed Properties,NA,"3,000",90 - 100,"1,000 - 1,100",Dec 2020
INTERNATIONAL PLAZA,ANSON ROAD,02,Non-landed Properties,NA,"2,700",90 - 100,"1,000 - 1,100",Dec 2020
INTERNATIONAL PLAZA,ANSON ROAD,02,Non-landed Properties,NA,"4,000",120 - 130,"1,300 - 1,400",Dec 2020
INTERNATIONAL PLAZA,ANSON ROAD,02,Non-landed Properties,NA,"3,100",80 - 90,"900 - 1,000",Dec 2020
INTERO,LEICESTER ROAD,13,Non-landed Properties,3,"3,350",90 - 100,"1,000 - 1,100",Apr 2020
INTERO,LEICESTER ROAD,13,Non-landed Properties,3,"3,150",90 - 100,"1,000 - 1,100",Mar 2020
INTERO,LEICESTER ROAD,13,Non-landed Properties,3,"3,200",90 - 100,"1,000 - 1,100",Jul 2020
INTERO,LEICESTER ROAD,13,Non-landed Properties,3,"3,300",90 - 100,"1,000 - 1,100",Aug 2020
INTERO,LEICESTER ROAD,13,Non-landed Properties,3,"2,750",90 - 100,"1,000 - 1,100",Sep 2020
INTERO,LEICESTER ROAD,13,Non-landed Properties,3,"3,200",90 - 100,"1,000 - 1,100",Aug 2020
INTERO,LEICESTER ROAD,13,Non-landed Properties,3,"3,000",90 - 100,"1,000 - 1,100",Nov 2020
INTERO,LEICESTER ROAD,13,Non-landed Properties,3,"3,000",90 - 100,"1,000 - 1,100",Dec 2020
INZ RESIDENCE,CHOA CHU KANG AVENUE 5,23,Executive Condominium,3,"2,600",90 - 100,"900 - 1,000",Apr 2020
INZ RESIDENCE,CHOA CHU KANG AVENUE 5,23,Executive Condominium,3,"3,000",100 - 110,"1,100 - 1,200",Dec 2020
IRESIDENCES,IRRAWADDY ROAD,12,Non-landed Properties,3,"4,500",120 - 130,"1,300 - 1,400",Mar 2020
IRESIDENCES,IRRAWADDY ROAD,12,Non-landed Properties,2,"3,600",90 - 100,"1,000 - 1,100",Apr 2020
IRESIDENCES,IRRAWADDY ROAD,12,Non-landed Properties,3,"4,000",120 - 130,"1,300 - 1,400",Jun 2020
IRESIDENCES,IRRAWADDY ROAD,12,Non-landed Properties,3,"4,300",120 - 130,"1,300 - 1,400",May 2020
IRESIDENCES,IRRAWADDY ROAD,12,Non-landed Properties,3,"4,050",120 - 130,"1,300 - 1,400",Feb 2020
IRESIDENCES,IRRAWADDY ROAD,12,Non-landed Properties,2,"3,800",90 - 100,"1,000 - 1,100",Feb 2020
IRESIDENCES,IRRAWADDY ROAD,12,Non-landed Properties,2,"3,400",90 - 100,"900 - 1,000",May 2020
IRESIDENCES,IRRAWADDY ROAD,12,Non-landed Properties,2,"3,400",90 - 100,"1,000 - 1,100",May 2020
IRESIDENCES,IRRAWADDY ROAD,12,Non-landed Properties,2,"2,800",90 - 100,"1,000 - 1,100",May 2020
