Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-landed Properties,1,"2,600",50 - 60,500 - 600,Mar 2020
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-landed Properties,1,"2,000",30 - 40,400 - 500,Mar 2020
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-landed Properties,2,"2,400",50 - 60,500 - 600,Mar 2020
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-landed Properties,3,"4,200",90 - 100,"900 - 1,000",Mar 2020
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-landed Properties,1,"2,200",30 - 40,400 - 500,Mar 2020
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-landed Properties,1,"2,400",30 - 40,400 - 500,Mar 2020
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-landed Properties,3,"4,450",100 - 110,"1,100 - 1,200",Mar 2020
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-landed Properties,1,"2,500",50 - 60,500 - 600,Mar 2020
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-landed Properties,1,"2,400",40 - 50,400 - 500,Apr 2020
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-landed Properties,1,"2,200",40 - 50,400 - 500,Mar 2020
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-landed Properties,1,"2,050",30 - 40,400 - 500,Mar 2020
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-landed Properties,2,"2,600",50 - 60,500 - 600,Feb 2020
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-landed Properties,1,"2,200",40 - 50,400 - 500,Mar 2020
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-landed Properties,2,"2,800",50 - 60,500 - 600,Feb 2020
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-landed Properties,1,"2,200",30 - 40,400 - 500,Feb 2020
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-landed Properties,3,"4,500",110 - 120,"1,100 - 1,200",Mar 2020
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-landed Properties,2,"3,500",70 - 80,800 - 900,Mar 2020
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-landed Properties,3,"3,800",70 - 80,800 - 900,Jan 2020
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-landed Properties,1,"2,600",40 - 50,400 - 500,Mar 2020
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-landed Properties,3,"3,400",70 - 80,700 - 800,Mar 2020
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-landed Properties,1,"2,300",50 - 60,500 - 600,Jan 2020
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-landed Properties,1,"2,800",40 - 50,400 - 500,Mar 2020
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-landed Properties,2,"3,000",70 - 80,700 - 800,Feb 2020
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-landed Properties,1,"2,300",50 - 60,500 - 600,Feb 2020
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-landed Properties,1,"2,450",40 - 50,500 - 600,Feb 2020
