Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
# 1 LOFT,LORONG 24 GEYLANG,14,Non-landed Properties,1,"1,700",40 - 50,400 - 500,Apr 2019
# 1 LOFT,LORONG 24 GEYLANG,14,Non-landed Properties,1,"1,900",40 - 50,400 - 500,Apr 2019
# 1 LOFT,LORONG 24 GEYLANG,14,Non-landed Properties,1,"1,800",40 - 50,400 - 500,Apr 2019
# 1 SUITES,LORONG 20 GEYLANG,14,Non-landed Properties,1,"1,900",40 - 50,500 - 600,Apr 2019
# 1 SUITES,LORONG 20 GEYLANG,14,Non-landed Properties,1,"2,000",40 - 50,500 - 600,Apr 2019
# 1 SUITES,LORONG 20 GEYLANG,14,Non-landed Properties,1,"1,900",40 - 50,500 - 600,Apr 2019
1 CANBERRA,CANBERRA DRIVE,27,Executive Condominium,3,"1,500",140 - 150,"1,500 - 1,600",Apr 2019
1 KING ALBERT PARK,KING ALBERT PARK,21,Non-landed Properties,2,"3,000",90 - 100,"900 - 1,000",Apr 2019
1 KING ALBERT PARK,KING ALBERT PARK,21,Non-landed Properties,3,"3,500",120 - 130,"1,300 - 1,400",Apr 2019
1 KING ALBERT PARK,KING ALBERT PARK,21,Non-landed Properties,2,"2,700",100 - 110,"1,000 - 1,100",Apr 2019
1 KING ALBERT PARK,KING ALBERT PARK,21,Non-landed Properties,2,"2,800",100 - 110,"1,100 - 1,200",Apr 2019
1 MOULMEIN RISE,MOULMEIN RISE,11,Non-landed Properties,3,"4,200",100 - 110,"1,100 - 1,200",Apr 2019
10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,"2,000",70 - 80,800 - 900,Apr 2019
10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,"2,000",50 - 60,500 - 600,Apr 2019
10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,"2,000",40 - 50,400 - 500,Apr 2019
11 AMBER ROAD,AMBER ROAD,15,Non-landed Properties,3,"3,600",100 - 110,"1,100 - 1,200",Apr 2019
16 @ AMBER,AMBER ROAD,15,Non-landed Properties,1,"1,950",30 - 40,400 - 500,Apr 2019
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,2,"3,200",110 - 120,"1,200 - 1,300",Apr 2019
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,1,"2,200",40 - 50,400 - 500,Apr 2019
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,2,"2,600",60 - 70,700 - 800,Apr 2019
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,1,"2,050",40 - 50,400 - 500,Apr 2019
1919,SOPHIA ROAD,09,Non-landed Properties,2,"3,500",70 - 80,800 - 900,Apr 2019
1919,SOPHIA ROAD,09,Non-landed Properties,1,"2,900",50 - 60,500 - 600,Apr 2019
1919,SOPHIA ROAD,09,Non-landed Properties,1,"2,700",50 - 60,500 - 600,Apr 2019
1919,SOPHIA ROAD,09,Non-landed Properties,1,"3,000",50 - 60,500 - 600,Apr 2019
1919,SOPHIA ROAD,09,Non-landed Properties,2,"5,100",60 - 70,600 - 700,Apr 2019
1919,SOPHIA ROAD,09,Non-landed Properties,1,"3,200",50 - 60,500 - 600,Apr 2019
1919,SOPHIA ROAD,09,Non-landed Properties,1,"2,900",50 - 60,500 - 600,Apr 2019
2 RVG,RIVER VALLEY GROVE,09,Non-landed Properties,2,"4,050",70 - 80,800 - 900,Apr 2019
2 RVG,RIVER VALLEY GROVE,09,Non-landed Properties,2,"3,700",80 - 90,800 - 900,Apr 2019
2 RVG,RIVER VALLEY GROVE,09,Non-landed Properties,1,"3,000",50 - 60,500 - 600,Apr 2019
2 RVG,RIVER VALLEY GROVE,09,Non-landed Properties,1,"2,950",50 - 60,500 - 600,Apr 2019
2 RVG,RIVER VALLEY GROVE,09,Non-landed Properties,1,"2,800",50 - 60,500 - 600,Apr 2019
2 RVG,RIVER VALLEY GROVE,09,Non-landed Properties,2,"3,750",80 - 90,800 - 900,Apr 2019
2 RVG,RIVER VALLEY GROVE,09,Non-landed Properties,2,"3,400",70 - 80,800 - 900,Apr 2019
21 ANDERSON,ANDERSON ROAD,10,Non-landed Properties,3,"8,000",150 - 160,"1,600 - 1,700",Apr 2019
21 ANDERSON,ANDERSON ROAD,10,Non-landed Properties,3,"8,000",150 - 160,"1,600 - 1,700",Apr 2019
21 ANDERSON,ANDERSON ROAD,10,Non-landed Properties,3,"9,000",170 - 180,"1,900 - 2,000",Apr 2019
21 ANDERSON,ANDERSON ROAD,10,Non-landed Properties,3,"8,000",150 - 160,"1,600 - 1,700",Apr 2019
21 ANDERSON,ANDERSON ROAD,10,Non-landed Properties,3,"9,000",170 - 180,"1,900 - 2,000",Apr 2019
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,2,"3,200",70 - 80,700 - 800,Apr 2019
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,2,"3,200",70 - 80,700 - 800,Apr 2019
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,1,"2,450",40 - 50,400 - 500,Apr 2019
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,1,"2,500",40 - 50,400 - 500,Apr 2019
28 IMPERIAL RESIDENCES,LORONG 26 GEYLANG,14,Non-landed Properties,2,"2,600",100 - 110,"1,100 - 1,200",Apr 2019
28 IMPERIAL RESIDENCES,LORONG 26 GEYLANG,14,Non-landed Properties,1,"1,600",30 - 40,400 - 500,Apr 2019
28 RC SUITES,RACE COURSE LANE,08,Non-landed Properties,1,"2,600",80 - 90,800 - 900,Apr 2019
28 RC SUITES,RACE COURSE LANE,08,Non-landed Properties,1,"1,850",30 - 40,400 - 500,Apr 2019
28 RC SUITES,RACE COURSE LANE,08,Non-landed Properties,1,"2,000",40 - 50,400 - 500,Apr 2019
28 RC SUITES,RACE COURSE LANE,08,Non-landed Properties,1,"1,900",40 - 50,400 - 500,Apr 2019
28 RC SUITES,RACE COURSE LANE,08,Non-landed Properties,1,"1,900",30 - 40,400 - 500,Apr 2019
28 RC SUITES,RACE COURSE LANE,08,Non-landed Properties,1,"2,000",30 - 40,400 - 500,Apr 2019
28 RC SUITES,RACE COURSE LANE,08,Non-landed Properties,1,"2,000",40 - 50,400 - 500,Apr 2019
28 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,3,"3,000",110 - 120,"1,100 - 1,200",Apr 2019
368 THOMSON,THOMSON ROAD,11,Non-landed Properties,2,"3,000",80 - 90,800 - 900,Apr 2019
368 THOMSON,THOMSON ROAD,11,Non-landed Properties,3,"3,900",120 - 130,"1,300 - 1,400",Apr 2019
368 THOMSON,THOMSON ROAD,11,Non-landed Properties,2,"2,900",80 - 90,800 - 900,Apr 2019
368 THOMSON,THOMSON ROAD,11,Non-landed Properties,3,"3,900",120 - 130,"1,300 - 1,400",Apr 2019
368 THOMSON,THOMSON ROAD,11,Non-landed Properties,2,"3,200",80 - 90,800 - 900,Apr 2019
38 I SUITES,IPOH LANE,15,Non-landed Properties,1,"1,800",40 - 50,400 - 500,Apr 2019
