Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
38 I SUITES,IPOH LANE,15,Non-landed Properties,2,"2,300",60 - 70,600 - 700,Apr 2019
38 I SUITES,IPOH LANE,15,Non-landed Properties,2,"2,100",40 - 50,500 - 600,Apr 2019
38 I SUITES,IPOH LANE,15,Non-landed Properties,1,"1,850",40 - 50,400 - 500,Apr 2019
3@SANDILANDS,SANDILANDS ROAD,19,Non-landed Properties,2,"2,200",70 - 80,700 - 800,Apr 2019
448@EAST COAST,EAST COAST ROAD,15,Non-landed Properties,1,"1,700",40 - 50,400 - 500,Apr 2019
57 @ KOVAN,KOVAN ROAD,19,Non-landed Properties,4,"4,800",260 - 270,"2,700 - 2,800",Apr 2019
57 @ KOVAN,KOVAN ROAD,19,Non-landed Properties,3,"3,300",120 - 130,"1,300 - 1,400",Apr 2019
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,1,"2,500",40 - 50,400 - 500,Apr 2019
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,2,"3,000",60 - 70,700 - 800,Apr 2019
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,3,"6,000",100 - 110,"1,100 - 1,200",Apr 2019
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,2,"3,400",70 - 80,800 - 900,Apr 2019
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,1,"2,450",40 - 50,500 - 600,Apr 2019
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,2,"3,400",70 - 80,800 - 900,Apr 2019
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,2,"3,200",60 - 70,700 - 800,Apr 2019
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,1,"2,600",40 - 50,500 - 600,Apr 2019
7 ON CHAPEL,CHAPEL ROAD,15,Non-landed Properties,2,"3,000",70 - 80,700 - 800,Apr 2019
76 SHENTON,SHENTON WAY,02,Non-landed Properties,1,"3,200",50 - 60,600 - 700,Apr 2019
76 SHENTON,SHENTON WAY,02,Non-landed Properties,1,"3,500",50 - 60,500 - 600,Apr 2019
76 SHENTON,SHENTON WAY,02,Non-landed Properties,2,"4,300",90 - 100,"900 - 1,000",Apr 2019
76 SHENTON,SHENTON WAY,02,Non-landed Properties,1,"3,500",50 - 60,600 - 700,Apr 2019
76 SHENTON,SHENTON WAY,02,Non-landed Properties,2,"5,000",90 - 100,"900 - 1,000",Apr 2019
76 SHENTON,SHENTON WAY,02,Non-landed Properties,1,"3,700",50 - 60,600 - 700,Apr 2019
76 SHENTON,SHENTON WAY,02,Non-landed Properties,2,"3,950",90 - 100,"900 - 1,000",Apr 2019
76 SHENTON,SHENTON WAY,02,Non-landed Properties,2,"4,900",90 - 100,"900 - 1,000",Apr 2019
76 SHENTON,SHENTON WAY,02,Non-landed Properties,2,"5,250",90 - 100,"900 - 1,000",Apr 2019
76 SHENTON,SHENTON WAY,02,Non-landed Properties,1,"3,500",50 - 60,600 - 700,Apr 2019
76 SHENTON,SHENTON WAY,02,Non-landed Properties,1,"3,400",50 - 60,500 - 600,Apr 2019
76 SHENTON,SHENTON WAY,02,Non-landed Properties,1,"3,200",50 - 60,600 - 700,Apr 2019
76 SHENTON,SHENTON WAY,02,Non-landed Properties,1,"4,000",50 - 60,600 - 700,Apr 2019
76 SHENTON,SHENTON WAY,02,Non-landed Properties,2,"4,000",90 - 100,"900 - 1,000",Apr 2019
76 SHENTON,SHENTON WAY,02,Non-landed Properties,2,"4,200",90 - 100,"900 - 1,000",Apr 2019
76 SHENTON,SHENTON WAY,02,Non-landed Properties,1,"3,300",50 - 60,600 - 700,Apr 2019
8 @ MOUNT SOPHIA,MOUNT SOPHIA,09,Non-landed Properties,3,"5,900",110 - 120,"1,200 - 1,300",Apr 2019
8 @ MOUNT SOPHIA,MOUNT SOPHIA,09,Non-landed Properties,1,"3,800",60 - 70,700 - 800,Apr 2019
8 @ MOUNT SOPHIA,MOUNT SOPHIA,09,Non-landed Properties,1,"3,500",60 - 70,700 - 800,Apr 2019
8 @ MOUNT SOPHIA,MOUNT SOPHIA,09,Non-landed Properties,1,"3,800",60 - 70,700 - 800,Apr 2019
8 @ MOUNT SOPHIA,MOUNT SOPHIA,09,Non-landed Properties,3,"6,300",120 - 130,"1,300 - 1,400",Apr 2019
8 @ MOUNT SOPHIA,MOUNT SOPHIA,09,Non-landed Properties,1,"3,200",60 - 70,700 - 800,Apr 2019
8 @ MOUNT SOPHIA,MOUNT SOPHIA,09,Non-landed Properties,3,"5,200",100 - 110,"1,100 - 1,200",Apr 2019
8 @ MOUNT SOPHIA,MOUNT SOPHIA,09,Non-landed Properties,1,"3,800",60 - 70,700 - 800,Apr 2019
8 @ MOUNT SOPHIA,MOUNT SOPHIA,09,Non-landed Properties,2,"5,300",80 - 90,"900 - 1,000",Apr 2019
8 @ MOUNT SOPHIA,MOUNT SOPHIA,09,Non-landed Properties,2,"4,650",80 - 90,"900 - 1,000",Apr 2019
8 @ MOUNT SOPHIA,MOUNT SOPHIA,09,Non-landed Properties,1,"3,600",60 - 70,700 - 800,Apr 2019
8 @ MOUNT SOPHIA,MOUNT SOPHIA,09,Non-landed Properties,1,"4,700",60 - 70,700 - 800,Apr 2019
8 @ MOUNT SOPHIA,MOUNT SOPHIA,09,Non-landed Properties,2,"5,000",80 - 90,"900 - 1,000",Apr 2019
8 @ MOUNT SOPHIA,MOUNT SOPHIA,09,Non-landed Properties,3,"5,400",100 - 110,"1,100 - 1,200",Apr 2019
8 @ MOUNT SOPHIA,MOUNT SOPHIA,09,Non-landed Properties,1,"3,100",60 - 70,700 - 800,Apr 2019
8 @ MOUNT SOPHIA,MOUNT SOPHIA,09,Non-landed Properties,2,"4,400",80 - 90,"900 - 1,000",Apr 2019
8 @ MOUNT SOPHIA,MOUNT SOPHIA,09,Non-landed Properties,3,"4,300",100 - 110,"1,100 - 1,200",Apr 2019
8 BASSEIN,BASSEIN ROAD,11,Non-landed Properties,1,"2,100",40 - 50,400 - 500,Apr 2019
8 BASSEIN,BASSEIN ROAD,11,Non-landed Properties,1,"2,000",40 - 50,400 - 500,Apr 2019
8 BASSEIN,BASSEIN ROAD,11,Non-landed Properties,1,"2,000",40 - 50,400 - 500,Apr 2019
8 BASSEIN,BASSEIN ROAD,11,Non-landed Properties,1,"2,300",40 - 50,400 - 500,Apr 2019
8 BASSEIN,BASSEIN ROAD,11,Non-landed Properties,1,"2,000",40 - 50,400 - 500,Apr 2019
8 BASSEIN,BASSEIN ROAD,11,Non-landed Properties,1,"2,100",40 - 50,400 - 500,Apr 2019
8 BASSEIN,BASSEIN ROAD,11,Non-landed Properties,1,"2,100",40 - 50,400 - 500,Apr 2019
8 FARRER SUITES,SING JOO WALK,08,Non-landed Properties,2,"2,900",60 - 70,600 - 700,Apr 2019
8 FARRER SUITES,SING JOO WALK,08,Non-landed Properties,2,"2,200",50 - 60,600 - 700,Apr 2019
8 NAPIER,NAPIER ROAD,10,Non-landed Properties,3,"12,500",180 - 190,"2,000 - 2,100",Apr 2019
8 NAPIER,NAPIER ROAD,10,Non-landed Properties,3,"9,000",180 - 190,"2,000 - 2,100",Apr 2019
8 NAPIER,NAPIER ROAD,10,Non-landed Properties,4,"10,000",250 - 260,"2,700 - 2,800",Apr 2019
8 RODYK,RODYK STREET,09,Non-landed Properties,3,"6,500",120 - 130,"1,300 - 1,400",Apr 2019
8 RODYK,RODYK STREET,09,Non-landed Properties,1,"3,750",60 - 70,700 - 800,Apr 2019
8 RODYK,RODYK STREET,09,Non-landed Properties,1,"3,550",60 - 70,700 - 800,Apr 2019
8 SAINT THOMAS,ST. THOMAS WALK,09,Non-landed Properties,1,"4,500",40 - 50,500 - 600,Apr 2019
8 SAINT THOMAS,ST. THOMAS WALK,09,Non-landed Properties,1,"2,800",40 - 50,400 - 500,Apr 2019
8 SAINT THOMAS,ST. THOMAS WALK,09,Non-landed Properties,2,"6,000",70 - 80,800 - 900,Apr 2019
8 SAINT THOMAS,ST. THOMAS WALK,09,Non-landed Properties,1,"4,600",40 - 50,500 - 600,Apr 2019
8 SAINT THOMAS,ST. THOMAS WALK,09,Non-landed Properties,2,"5,000",70 - 80,800 - 900,Apr 2019
8@WOODLEIGH,WOODLEIGH CLOSE,13,Non-landed Properties,NA,"1,950",30 - 40,300 - 400,Apr 2019
8@WOODLEIGH,WOODLEIGH CLOSE,13,Non-landed Properties,2,"2,700",70 - 80,800 - 900,Apr 2019
8@WOODLEIGH,WOODLEIGH CLOSE,13,Non-landed Properties,3,"3,500",100 - 110,"1,000 - 1,100",Apr 2019
8@WOODLEIGH,WOODLEIGH CLOSE,13,Non-landed Properties,NA,"1,800",30 - 40,300 - 400,Apr 2019
8@WOODLEIGH,WOODLEIGH CLOSE,13,Non-landed Properties,NA,"1,500",30 - 40,300 - 400,Apr 2019
8@WOODLEIGH,WOODLEIGH CLOSE,13,Non-landed Properties,4,"4,500",120 - 130,"1,300 - 1,400",Apr 2019
8M RESIDENCES,MARGATE ROAD,15,Non-landed Properties,2,"3,500",60 - 70,600 - 700,Apr 2019
8M RESIDENCES,MARGATE ROAD,15,Non-landed Properties,1,"2,100",40 - 50,500 - 600,Apr 2019
91 MARSHALL,MARSHALL ROAD,15,Non-landed Properties,1,"1,750",30 - 40,300 - 400,Apr 2019
A TREASURE TROVE,PUNGGOL WALK,19,Non-landed Properties,3,"2,650",130 - 140,"1,300 - 1,400",Apr 2019
A TREASURE TROVE,PUNGGOL WALK,19,Non-landed Properties,2,"2,150",70 - 80,700 - 800,Apr 2019
A TREASURE TROVE,PUNGGOL WALK,19,Non-landed Properties,4,"3,200",120 - 130,"1,300 - 1,400",Apr 2019
A TREASURE TROVE,PUNGGOL WALK,19,Non-landed Properties,3,"2,888",110 - 120,"1,200 - 1,300",Apr 2019
A TREASURE TROVE,PUNGGOL WALK,19,Non-landed Properties,2,"2,200",70 - 80,700 - 800,Apr 2019
A TREASURE TROVE,PUNGGOL WALK,19,Non-landed Properties,3,"2,600",90 - 100,"1,000 - 1,100",Apr 2019
A TREASURE TROVE,PUNGGOL WALK,19,Non-landed Properties,2,"2,450",130 - 140,"1,400 - 1,500",Apr 2019
A TREASURE TROVE,PUNGGOL WALK,19,Non-landed Properties,3,"2,850",110 - 120,"1,200 - 1,300",Apr 2019
A TREASURE TROVE,PUNGGOL WALK,19,Non-landed Properties,2,"2,150",70 - 80,700 - 800,Apr 2019
A TREASURE TROVE,PUNGGOL WALK,19,Non-landed Properties,2,"2,100",70 - 80,700 - 800,Apr 2019
A TREASURE TROVE,PUNGGOL WALK,19,Non-landed Properties,2,"2,513",70 - 80,700 - 800,Apr 2019
A TREASURE TROVE,PUNGGOL WALK,19,Non-landed Properties,2,"2,250",80 - 90,"900 - 1,000",Apr 2019
A TREASURE TROVE,PUNGGOL WALK,19,Non-landed Properties,2,"2,000",70 - 80,700 - 800,Apr 2019
AALTO,MEYER ROAD,15,Non-landed Properties,3,"5,200",140 - 150,"1,500 - 1,600",Apr 2019
AALTO,MEYER ROAD,15,Non-landed Properties,3,"5,500",140 - 150,"1,500 - 1,600",Apr 2019
AALTO,MEYER ROAD,15,Non-landed Properties,3,"6,000",140 - 150,"1,500 - 1,600",Apr 2019
AALTO,MEYER ROAD,15,Non-landed Properties,4,"6,150",180 - 190,"2,000 - 2,100",Apr 2019
AALTO,MEYER ROAD,15,Non-landed Properties,4,"6,800",180 - 190,"1,900 - 2,000",Apr 2019
ADAM GREEN,ADAM ROAD,11,Non-landed Properties,NA,"2,300",40 - 50,400 - 500,Apr 2019
ADAM PARK CONDOMINIUM,ADAM ROAD,11,Non-landed Properties,2,"2,800",90 - 100,"900 - 1,000",Apr 2019
ADAM PARK CONDOMINIUM,ADAM ROAD,11,Non-landed Properties,2,"3,000",80 - 90,800 - 900,Apr 2019
ADAM PARK CONDOMINIUM,ADAM ROAD,11,Non-landed Properties,2,"3,000",80 - 90,"900 - 1,000",Apr 2019
ADAM PARK CONDOMINIUM,ADAM ROAD,11,Non-landed Properties,3,"4,100",100 - 110,"1,100 - 1,200",Apr 2019
ADAM PARK CONDOMINIUM,ADAM ROAD,11,Non-landed Properties,2,"2,800",80 - 90,"900 - 1,000",Apr 2019
ADAM PLACE,ADAM ROAD,11,Non-landed Properties,NA,"2,500",80 - 90,"900 - 1,000",Apr 2019
ADANA @ THOMSON,OLD UPPER THOMSON ROAD,20,Non-landed Properties,3,"2,500",80 - 90,800 - 900,Apr 2019
ADELPHI PARK ESTATE,GARDENIA ROAD,20,Terrace House,NA,"4,200",130 - 140,"1,400 - 1,500",Apr 2019
ADRIA,DERBYSHIRE ROAD,11,Non-landed Properties,1,"2,700",50 - 60,500 - 600,Apr 2019
ADRIA,DERBYSHIRE ROAD,11,Non-landed Properties,2,"2,900",60 - 70,600 - 700,Apr 2019
ADRIA,DERBYSHIRE ROAD,11,Non-landed Properties,2,"2,800",60 - 70,600 - 700,Apr 2019
ADRIA,DERBYSHIRE ROAD,11,Non-landed Properties,2,"3,000",60 - 70,600 - 700,Apr 2019
ADRIA,DERBYSHIRE ROAD,11,Non-landed Properties,2,"2,800",60 - 70,600 - 700,Apr 2019
ADVANCE APARTMENTS,LORONG 25A GEYLANG,14,Non-landed Properties,NA,"2,850",140 - 150,"1,500 - 1,600",Apr 2019
AIRSTREAM,ST. MICHAEL'S ROAD,12,Non-landed Properties,1,"1,600",30 - 40,400 - 500,Apr 2019
AIRSTREAM,ST. MICHAEL'S ROAD,12,Non-landed Properties,2,"2,050",50 - 60,600 - 700,Apr 2019
ALBA,CAIRNHILL RISE,09,Non-landed Properties,3,"12,516",170 - 180,"1,800 - 1,900",Apr 2019
ALBA,CAIRNHILL RISE,09,Non-landed Properties,3,"7,500",190 - 200,"2,000 - 2,100",Apr 2019
ALEGRIA,THOMSON ROAD,11,Non-landed Properties,2,"3,500",90 - 100,"1,000 - 1,100",Apr 2019
ALESSANDREA,ALEXANDRA ROAD,03,Non-landed Properties,3,"3,800",90 - 100,"900 - 1,000",Apr 2019
ALESSANDREA,ALEXANDRA ROAD,03,Non-landed Properties,3,"3,300",90 - 100,"900 - 1,000",Apr 2019
ALESSANDREA,ALEXANDRA ROAD,03,Non-landed Properties,3,"2,900",90 - 100,"900 - 1,000",Apr 2019
ALESSANDREA,ALEXANDRA ROAD,03,Non-landed Properties,3,"4,000",90 - 100,"900 - 1,000",Apr 2019
ALEX RESIDENCES,ALEXANDRA VIEW,03,Non-landed Properties,2,"3,200",60 - 70,600 - 700,Apr 2019
ALEX RESIDENCES,ALEXANDRA VIEW,03,Non-landed Properties,2,"3,500",60 - 70,600 - 700,Apr 2019
ALEX RESIDENCES,ALEXANDRA VIEW,03,Non-landed Properties,3,"4,100",80 - 90,"900 - 1,000",Apr 2019
ALEX RESIDENCES,ALEXANDRA VIEW,03,Non-landed Properties,3,"4,700",80 - 90,"900 - 1,000",Apr 2019
ALEX RESIDENCES,ALEXANDRA VIEW,03,Non-landed Properties,1,"2,700",40 - 50,400 - 500,Apr 2019
ALEX RESIDENCES,ALEXANDRA VIEW,03,Non-landed Properties,3,"4,400",80 - 90,"900 - 1,000",Apr 2019
ALEXIS,ALEXANDRA ROAD,03,Non-landed Properties,1,"2,500",40 - 50,500 - 600,Apr 2019
ALEXIS,ALEXANDRA ROAD,03,Non-landed Properties,1,"2,100",30 - 40,300 - 400,Apr 2019
ALEXIS,ALEXANDRA ROAD,03,Non-landed Properties,1,"2,300",40 - 50,500 - 600,Apr 2019
ALEXIS,ALEXANDRA ROAD,03,Non-landed Properties,1,"2,600",40 - 50,500 - 600,Apr 2019
ALEXIS,ALEXANDRA ROAD,03,Non-landed Properties,2,"2,800",80 - 90,800 - 900,Apr 2019
ALLAMANDA GROVE,ALLAMANDA GROVE,10,Terrace House,NA,"5,200",150 - 160,"1,600 - 1,700",Apr 2019
ALLAN VILLE,GEMMILL LANE,01,Non-landed Properties,NA,"3,300",60 - 70,600 - 700,Apr 2019
ALLSWORTH PARK,HOLLAND ROAD,10,Non-landed Properties,2,"3,000",90 - 100,"900 - 1,000",Apr 2019
ALTEZ,ENGGOR STREET,02,Non-landed Properties,2,"5,700",90 - 100,"1,000 - 1,100",Apr 2019
ALTEZ,ENGGOR STREET,02,Non-landed Properties,1,"4,250",60 - 70,700 - 800,Apr 2019
ALTEZ,ENGGOR STREET,02,Non-landed Properties,1,"4,960",60 - 70,700 - 800,Apr 2019
ALTEZ,ENGGOR STREET,02,Non-landed Properties,2,"7,150",90 - 100,"1,000 - 1,100",Apr 2019
ALTEZ,ENGGOR STREET,02,Non-landed Properties,1,"4,000",40 - 50,500 - 600,Apr 2019
ALTEZ,ENGGOR STREET,02,Non-landed Properties,1,"4,000",40 - 50,500 - 600,Apr 2019
ALTEZ,ENGGOR STREET,02,Non-landed Properties,1,"4,800",60 - 70,700 - 800,Apr 2019
ALTEZ,ENGGOR STREET,02,Non-landed Properties,2,"5,800",90 - 100,"1,000 - 1,100",Apr 2019
ALTEZ,ENGGOR STREET,02,Non-landed Properties,1,"5,800",60 - 70,700 - 800,Apr 2019
ALTEZ,ENGGOR STREET,02,Non-landed Properties,2,"7,297",100 - 110,"1,000 - 1,100",Apr 2019
ALTEZ,ENGGOR STREET,02,Non-landed Properties,1,"3,700",40 - 50,500 - 600,Apr 2019
ALTEZ,ENGGOR STREET,02,Non-landed Properties,1,"3,800",40 - 50,500 - 600,Apr 2019
ALTEZ,ENGGOR STREET,02,Non-landed Properties,1,"4,700",60 - 70,700 - 800,Apr 2019
ALTEZ,ENGGOR STREET,02,Non-landed Properties,2,"6,950",100 - 110,"1,000 - 1,100",Apr 2019
ALTEZ,ENGGOR STREET,02,Non-landed Properties,2,"6,963",80 - 90,"900 - 1,000",Apr 2019
ALTEZ,ENGGOR STREET,02,Non-landed Properties,2,"6,800",90 - 100,"1,000 - 1,100",Apr 2019
ALTEZ,ENGGOR STREET,02,Non-landed Properties,1,"4,900",60 - 70,700 - 800,Apr 2019
ALTEZ,ENGGOR STREET,02,Non-landed Properties,2,"6,340",90 - 100,"1,000 - 1,100",Apr 2019
ALTEZ,ENGGOR STREET,02,Non-landed Properties,1,"3,950",50 - 60,600 - 700,Apr 2019
ALTEZ,ENGGOR STREET,02,Non-landed Properties,1,"4,000",40 - 50,500 - 600,Apr 2019
ALTEZ,ENGGOR STREET,02,Non-landed Properties,1,"4,400",40 - 50,500 - 600,Apr 2019
AMANINDA,THOMSON ROAD,11,Non-landed Properties,1,"2,300",50 - 60,500 - 600,Apr 2019
AMANINDA,THOMSON ROAD,11,Non-landed Properties,1,"2,500",50 - 60,600 - 700,Apr 2019
AMANINDA,THOMSON ROAD,11,Non-landed Properties,2,"3,000",80 - 90,"900 - 1,000",Apr 2019
AMANINDA,THOMSON ROAD,11,Non-landed Properties,1,"2,300",50 - 60,500 - 600,Apr 2019
AMARANDA GARDENS,SERANGOON AVENUE 3,19,Non-landed Properties,4,"4,250",120 - 130,"1,300 - 1,400",Apr 2019
AMARANDA GARDENS,SERANGOON AVENUE 3,19,Non-landed Properties,3,"3,200",100 - 110,"1,100 - 1,200",Apr 2019
AMARANDA GARDENS,SERANGOON AVENUE 3,19,Non-landed Properties,3,"3,200",100 - 110,"1,100 - 1,200",Apr 2019
AMARANDA GARDENS,SERANGOON AVENUE 3,19,Non-landed Properties,3,"3,300",100 - 110,"1,100 - 1,200",Apr 2019
AMARYLLIS VILLE,NEWTON ROAD,11,Non-landed Properties,1,"3,200",50 - 60,600 - 700,Apr 2019
AMARYLLIS VILLE,NEWTON ROAD,11,Non-landed Properties,2,"4,000",80 - 90,"900 - 1,000",Apr 2019
AMARYLLIS VILLE,NEWTON ROAD,11,Non-landed Properties,2,"4,100",80 - 90,"900 - 1,000",Apr 2019
AMARYLLIS VILLE,NEWTON ROAD,11,Non-landed Properties,2,"3,900",80 - 90,"900 - 1,000",Apr 2019
AMARYLLIS VILLE,NEWTON ROAD,11,Non-landed Properties,2,"4,100",80 - 90,"900 - 1,000",Apr 2019
AMARYLLIS VILLE,NEWTON ROAD,11,Non-landed Properties,3,"4,600",110 - 120,"1,200 - 1,300",Apr 2019
AMBER RESIDENCES,AMBER ROAD,15,Non-landed Properties,2,"4,400",100 - 110,"1,100 - 1,200",Apr 2019
AMBER RESIDENCES,AMBER ROAD,15,Non-landed Properties,2,"4,000",100 - 110,"1,100 - 1,200",Apr 2019
