Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,3,"3,300",100 - 110,"1,000 - 1,100",Jun 2020
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,1,"2,050",50 - 60,600 - 700,May 2020
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,2,"3,900",80 - 90,"900 - 1,000",May 2020
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,2,"2,850",80 - 90,800 - 900,May 2020
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,NA,"2,000",40 - 50,400 - 500,May 2020
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,4,"3,450",140 - 150,"1,600 - 1,700",May 2020
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,2,"3,696",80 - 90,800 - 900,May 2020
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,1,"2,400",50 - 60,500 - 600,Mar 2020
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,2,"2,900",80 - 90,800 - 900,Mar 2020
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,2,"2,900",80 - 90,"900 - 1,000",Mar 2020
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,3,"2,900",120 - 130,"1,300 - 1,400",Mar 2020
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,1,"2,300",50 - 60,500 - 600,Mar 2020
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,2,"2,900",80 - 90,800 - 900,Mar 2020
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,2,"2,850",80 - 90,800 - 900,Mar 2020
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,2,"2,800",80 - 90,800 - 900,Mar 2020
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,1,"2,150",50 - 60,500 - 600,Mar 2020
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,1,"2,200",40 - 50,400 - 500,Mar 2020
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,3,"3,800",100 - 110,"1,000 - 1,100",Feb 2020
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,2,"3,696",80 - 90,800 - 900,Jan 2020
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,2,"2,700",80 - 90,"900 - 1,000",Feb 2020
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,3,"3,200",100 - 110,"1,000 - 1,100",Feb 2020
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,2,"3,200",80 - 90,800 - 900,Mar 2020
